AÑO_EVAL;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;MRUN;CLAVE;DOC_GENERO;NIVEL;SUBSECT;AE_PJE;EP_PJE;IRT_PJE;PF_PJE;PF_ESC;INSTR_PJE;CCE_ESC
2018;1672;1;LICEO JOSE FRANCISCO VERGARA ETCHEVERS;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;8800579;BB1009714522;2;4;I;4;3;3;2,5;B;2,8;C
2018;1672;1;LICEO JOSE FRANCISCO VERGARA ETCHEVERS;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;24077770;BB1036283821;2;7;ADMIN;4;3;3;2,12;B;2,57;C
2018;1672;1;LICEO JOSE FRANCISCO VERGARA ETCHEVERS;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;8717894;CC1078182721;2;4;M;4;3;3;2,86;C;3,02;D
2018;1672;1;LICEO JOSE FRANCISCO VERGARA ETCHEVERS;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;12107279;EC1927348611;1;5;DEA;4;3;3;2,45;B;2,77;C
2018;1672;1;LICEO JOSE FRANCISCO VERGARA ETCHEVERS;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;6856491;JK1811863911;1;7;ADMIN;4;3;3;2,48;B;2,79;C
2018;1672;1;LICEO JOSE FRANCISCO VERGARA ETCHEVERS;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;11823129;TT4977904421;2;4;F;4;3;3;2,15;B;2,59;C
2018;1674;8;LICEO BENJAMIN VICUNA MACKENA;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;19593945;FG1178046211;1;7;DIB_TEC;3;3;3;1;I;1,8;I
2018;1674;8;LICEO BENJAMIN VICUNA MACKENA;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;15053532;GE1682144621;2;4;Q;4;3;3;2,4;B;2,74;C
2018;1674;8;LICEO BENJAMIN VICUNA MACKENA;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;5783114;TT8956235221;2;4;M;3;3;3;2,33;B;2,6;C
2018;1674;8;LICEO BENJAMIN VICUNA MACKENA;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;9058395;US7587684711;1;4;L;3;3;3;2,2;B;2,52;C
2018;1675;6;LICEO GUILLERMO RIVERA COTAPOS;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;3975231;AB1075590211;1;4;EF;4;3;3;2,65;C;2,89;C
2018;1675;6;LICEO GUILLERMO RIVERA COTAPOS;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;1865475;BB1008842121;2;6;EAEMB;3;3;2;2,13;B;2,38;C
2018;1675;6;LICEO GUILLERMO RIVERA COTAPOS;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;21331873;BB1032160713;1;4;RC;4;3;2;2,4;B;2,64;C
2018;1675;6;LICEO GUILLERMO RIVERA COTAPOS;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;22543257;FE1900010121;2;5;DEA;4;4;2;2,53;C;2,92;C
2018;1675;6;LICEO GUILLERMO RIVERA COTAPOS;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;4253259;PQ1597887321;2;4;L;4;3;2;2,58;C;2,75;C
2018;1676;4;LICEO BICENTENARIO DE VIÃ‘A DEL MAR;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;14525161;BC1006330721;2;4;EF;4;3;3;2,5;B;2,8;C
2018;1676;4;LICEO BICENTENARIO DE VIÃ‘A DEL MAR;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;22659535;CC1049616521;2;4;I;4;3;3;2,8;C;2,98;D
2018;1676;4;LICEO BICENTENARIO DE VIÃ‘A DEL MAR;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;1326139;JK1321102911;1;4;I;4;3;3;2,53;C;2,82;C
2018;1676;4;LICEO BICENTENARIO DE VIÃ‘A DEL MAR;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;2645204;JK1802496011;1;3;L;3;3;2;2,4;B;2,54;C
2018;1676;4;LICEO BICENTENARIO DE VIÃ‘A DEL MAR;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;23892356;KM1943308011;1;4;I;4;3;3;2,9;C;3,04;D
2018;1676;4;LICEO BICENTENARIO DE VIÃ‘A DEL MAR;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;6877769;LK1650786521;2;4;AV;4;3;3;2,2;B;2,62;C
2018;1676;4;LICEO BICENTENARIO DE VIÃ‘A DEL MAR;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;3780915;OQ1564916821;2;4;I;4;3;2;2,35;B;2,61;C
2018;1676;4;LICEO BICENTENARIO DE VIÃ‘A DEL MAR;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;21097511;RR1391988821;2;3;EF;4;3;2;2,67;C;2,8;C
2018;1676;4;LICEO BICENTENARIO DE VIÃ‘A DEL MAR;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;17595492;TS6271806621;2;4;H;4;3;3;2,58;C;2,85;C
2018;1676;4;LICEO BICENTENARIO DE VIÃ‘A DEL MAR;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;9828486;TT1867083911;1;4;EF;4;3;2;2,2;B;2,52;C
2018;1676;4;LICEO BICENTENARIO DE VIÃ‘A DEL MAR;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;3717297;UU1203509821;2;4;L;4;3;3;2,4;B;2,74;C
2018;1677;2;ESCUELA BASICA REPUBLICA DEL ECUADOR;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;15066655;BB1043834521;2;2;G;4;3;4;2,62;C;2,97;C
2018;1677;2;ESCUELA BASICA REPUBLICA DEL ECUADOR;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;22160484;BC1078743221;2;2;G;4;3;4;2,95;C;3,17;D
2018;1677;2;ESCUELA BASICA REPUBLICA DEL ECUADOR;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;14158887;CA1068448911;1;2;G;4;4;4;3,12;D;3,47;D
2018;1677;2;ESCUELA BASICA REPUBLICA DEL ECUADOR;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;976157;DE1010711421;2;5;DEA;4;4;4;2,45;B;3,07;D
2018;1677;2;ESCUELA BASICA REPUBLICA DEL ECUADOR;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;5631507;GH1534267021;2;3;I;4;3;4;2,5;B;2,9;C
2018;1677;2;ESCUELA BASICA REPUBLICA DEL ECUADOR;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;14248021;LK1674043921;2;5;DEA;4;4;4;2,45;B;3,07;D
2018;1677;2;ESCUELA BASICA REPUBLICA DEL ECUADOR;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;17762801;VW1130479111;1;3;M;4;3;4;2,63;C;2,98;C
2018;1678;0;ESCUELA UNESCO;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;17113363;EC1579664521;2;3;I;4;4;3;2,41;B;2,95;C
2018;1678;0;ESCUELA UNESCO;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;2681288;FE1624781621;2;2;G;4;3;3;2,3;B;2,68;C
2018;1678;0;ESCUELA UNESCO;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;1272540;FE1968929215;1;3;EF;3;3;3;1,63;I;2,18;B
2018;1678;0;ESCUELA UNESCO;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;7982823;OP1337068421;2;3;CN;4;3;4;2,2;B;2,72;C
